iterCounter, dimersInMT, activeDimersInMT, inactiveDimersInMT, activeDimersFree,inactiveDimersFree, longestProtoFilament, lengthOfMT, totalGTPs, activeGTPs,inactiveGTPs, mtRepresentation, DeHydro Katanins, Hydro Katanins, Bonded Katanins
504,29,28,1,172,399,0,0,400,397,3,XXXXXXXXXXXXXXXXXXXXXXGAAAAAAXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAOAAAAAXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,0,0

525,31,28,3,181,388,0,0,391,386,5,XXXXXXXXXXXXXXXXXXXXXXGAAAOAAAXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAOAAAAAAXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,0,0
546,37,33,4,187,376,0,0,380,372,8,XXXXXXXXXXXXXXXXXXXXXXGAAAOAAAXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAOAAAAAAXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAXXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0
567,39,33,6,190,371,0,0,377,362,15,XXXXXXXXXXXXXXXXXXXXXXGAAAOAAOXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAOAOAAAAXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAAXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0
588,40,34,6,198,362,0,0,368,351,17,XXXXXXXXXXXXXXXXXXXXXXGAAAOAAOAXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAOAOAAAAXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAAXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0
609,41,34,7,200,359,0,0,366,347,19,XXXXXXXXXXXXXXXXXXXXXXGAAAOAAOAXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAAAAOAOAAAAAXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGOAAAAXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0

630,42,35,7,209,349,0,0,356,336,20,XXXXXXXXXXXXXXXXXXXXXXGAAAOAAOAXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAAAAOAOAAAAAXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGOAAAAXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0
651,44,37,7,214,342,0,0,349,329,20,XXXXXXXXXXXXXXXXXXXXXXGAAAOAAOAAXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAAAAOAOAAAAAXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGOAAAAXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0
672,44,37,7,222,334,0,0,341,319,22,XXXXXXXXXXXXXXXXXXXXXXGAAAOAAOAAXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAAAAOAOAAAAAXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGOAAAAXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0
693,47,38,9,236,317,0,0,326,300,26,XXXXXXXXXXXXXXXXXXXXXXGAAAOAOOAAXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAAAAOAOAAAAAXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAAXXXXXXXXXXXXXXXXXXXGOAAAAXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0
714,47,37,10,242,311,0,0,321,293,28,XXXXXXXXXXXXXXXXXXXXXXGAAAOAOOAAXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGXXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAAAAOAOAAAAAXXXXXXXXXGAXXXXXXXXXXXXXXXXXXXXGAAXXXXXXXXXXXXXXXXXXXGOAAAAXXXXXXXXXXXXXXXXGAAAXXXXXXXXXXXXXXXXXX,0,0,0

